year,state,state_po,office,candidate,candidatevotes,totalvotes
2016,Alabama,AL,US President,"Trump, Donald J.",1318255,2123372
2016,Alaska,AK,US President,"Trump, Donald J.",163387,318608
2016,Arizona,AZ,US President,"Trump, Donald J.",1252401,2573165
2016,Arkansas,AR,US President,"Trump, Donald J.",684872,1130635
2016,California,CA,US President,"Trump, Donald J.",4483810,14181595
2016,Colorado,CO,US President,"Trump, Donald J.",1202484,2780220
2016,Connecticut,CT,US President,"Trump, Donald J.",673215,1644920
2016,Delaware,DE,US President,"Trump, Donald J.",185127,441590
2016,District of Columbia,DC,US President,"Trump, Donald J.",12723,312575
2016,Florida,FL,US President,"Trump, Donald J.",4617886,9420039
2016,Georgia,GA,US President,"Trump, Donald J.",2089104,4114732
2016,Hawaii,HI,US President,"Trump, Donald J.",128847,437664
2016,Idaho,ID,US President,"Trump, Donald J.",409055,690255
2016,Illinois,IL,US President,"Trump, Donald J.",2146015,5536424
2016,Indiana,IN,US President,"Trump, Donald J.",1557286,2734958
2016,Iowa,IA,US President,"Trump, Donald J.",800983,1565580
2016,Kansas,KS,US President,"Trump, Donald J.",671018,1184402
2016,Kentucky,KY,US President,"Trump, Donald J.",1202971,1924149
2016,Louisiana,LA,US President,"Trump, Donald J.",1178638,2029032
2016,Maine,ME,US President,"Trump, Donald J.",335593,771892
2016,Maryland,MD,US President,"Trump, Donald J.",943169,2781446
2016,Massachusetts,MA,US President,"Trump, Donald J.",1090893,3378821
2016,Michigan,MI,US President,"Trump, Donald J.",2279543,4799284
2016,Minnesota,MN,US President,"Trump, Donald J.",1322949,2944782
2016,Mississippi,MS,US President,"Trump, Donald J.",700714,1209357
2016,Missouri,MO,US President,"Trump, Donald J.",1594511,2808605
2016,Montana,MT,US President,"Trump, Donald J.",279240,494526
2016,Nebraska,NE,US President,"Trump, Donald J.",495961,844227
2016,Nevada,NV,US President,"Trump, Donald J.",512058,1125385
2016,New Hampshire,NH,US President,"Trump, Donald J.",345790,744296
2016,New Jersey,NJ,US President,"Trump, Donald J.",1601933,3874046
2016,New Mexico,NM,US President,"Trump, Donald J.",319667,798319
2016,New York,NY,US President,"Trump, Donald J.",2527142,7802084
2016,North Carolina,NC,US President,"Trump, Donald J.",2362631,4741564
2016,North Dakota,ND,US President,"Trump, Donald J.",216794,344360
2016,Ohio,OH,US President,"Trump, Donald J.",2841005,5496487
2016,Oklahoma,OK,US President,"Trump, Donald J.",949136,1452992
2016,Oregon,OR,US President,"Trump, Donald J.",782403,2001336
2016,Pennsylvania,PA,US President,"Trump, Donald J.",2970733,6115402
2016,Rhode Island,RI,US President,"Trump, Donald J.",180543,464144
2016,South Carolina,SC,US President,"Trump, Donald J.",1155389,2103027
2016,South Dakota,SD,US President,"Trump, Donald J.",227721,370093
2016,Tennessee,TN,US President,"Trump, Donald J.",1522925,2508027
2016,Texas,TX,US President,"Trump, Donald J.",4685047,8969226
2016,Utah,UT,US President,"Trump, Donald J.",515211,1131317
2016,Vermont,VT,US President,"Trump, Donald J.",95369,320467
2016,Virginia,VA,US President,"Trump, Donald J.",1769443,3982752
2016,Washington,WA,US President,"Trump, Donald J.",1221747,3317019
2016,West Virginia,WV,US President,"Trump, Donald J.",489371,713051
2016,Wisconsin,WI,US President,"Trump, Donald J.",1405284,2976150
2016,Wyoming,WY,US President,"Trump, Donald J.",174419,258788
