"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"1","Alabama",0,4903185,4903185,2533668,1662441,1726955,609817,703474,117601,105677
"2","Alabama",1,1216438,1216438,597492,400953,382610,182024,178542,49359,47582
"3","Alabama",2,1273466,1273466,644987,419407,414501,181377,202102,35862,29894
"4","Alabama",3,1242097,1242097,642647,435376,442239,142951,177641,24535,20379
"5","Alabama",4,978608,978608,528503,346760,392549,92357,122377,6816,6488
"6","Alabama",5,192576,192576,120039,59945,95056,11108,22812,1029,1334
"7","Alaska",0,731545,731545,350127,252951,224537,15263,11845,28106,25106
"8","Alaska",1,196852,196852,95301,55681,51644,3628,3533,9960,9449
"9","Alaska",2,221292,221292,102089,77485,64158,6247,4141,11043,8580
"10","Alaska",3,176696,176696,84409,66105,58058,3647,2575,5163,4945
"11","Alaska",4,121495,121495,59539,48588,44283,1607,1382,1754,1889
"12","Alaska",5,15210,15210,8789,5092,6394,134,214,186,243
"13","Arizona",0,7278717,7278717,3661420,2990332,3023110,193983,183014,1161989,1148601
"14","Arizona",1,1838598,1838598,900189,730679,698800,56934,54441,414961,399118
"15","Arizona",2,1969556,1969556,951925,806321,753185,67360,57876,382790,355278
"16","Arizona",3,1727867,1727867,873315,718270,728027,45654,43263,249836,256630
"17","Arizona",4,1438429,1438429,765977,609248,686066,21449,23772,100571,117140
"18","Arizona",5,304267,304267,170014,125814,157032,2586,3662,13831,20435
"19","Arkansas",0,3017804,3017804,1536188,1177613,1207645,224895,248153,123500,113131
"20","Arkansas",1,778928,778928,379913,296632,280436,71927,70017,49798,47517
"21","Arkansas",2,789311,789311,392337,304181,296981,68117,71702,39261,34434
"22","Arkansas",3,737710,737710,375245,297776,299424,49854,59680,26372,23235
"23","Arkansas",4,588889,588889,314209,235326,265059,31390,39629,7237,6884
"24","Arkansas",5,122966,122966,74484,43698,65745,3607,7125,832,1061
"25","California",0,39512223,39512223,19867369,14261348,14163391,1268935,1283822,7832535,7742345
"26","California",1,9925397,9925397,4853408,3648014,3493199,317765,305305,2618729,2524008
"27","California",2,11480805,11480805,5578216,4182631,3877175,418466,382067,2554768,2400234
"28","California",3,9990048,9990048,5021196,3628784,3532430,325152,331808,1845263,1827841
"29","California",4,6682209,6682209,3553391,2366404,2612170,180190,218346,710181,824835
"30","California",5,1433764,1433764,861158,435515,648417,27362,46296,103594,165427
"31","Colorado",0,5758736,5758736,2857388,2523115,2483497,141054,123425,640258,616646
"32","Colorado",1,1407971,1407971,687142,601773,570673,37729,36010,225101,215482
"33","Colorado",2,1716636,1716636,820235,764311,698396,50465,39390,213694,193111
"34","Colorado",3,1443681,1443681,715403,642899,629901,35204,29000,140476,137224
"35","Colorado",4,1011965,1011965,527971,446921,485126,15799,16064,53613,60012
"36","Colorado",5,178483,178483,106637,67211,99401,1857,2961,7374,10817
"37","Connecticut",0,3565287,3565287,1825870,1390959,1450582,206935,227650,298346,302609
"38","Connecticut",1,829582,829582,406661,315418,301605,60020,58557,103945,100938
"39","Connecticut",2,907815,907815,447270,346621,332566,67131,67656,97374,93103
"40","Connecticut",3,952158,952158,490612,378051,393192,51478,61575,69825,74326
"41","Connecticut",4,710591,710591,378169,294217,329334,24921,33118,23988,29067
"42","Connecticut",5,165141,165141,103158,56652,93885,3385,6744,3214,5175
"43","Delaware",0,973764,973764,502971,328070,346005,106344,119200,47445,45946
"44","Delaware",1,228912,228912,113219,71366,69463,31616,31093,18486,18409
"45","Delaware",2,245608,245608,122573,80136,78219,31135,32936,14664,13532
"46","Delaware",3,241923,241923,126209,82079,86555,26129,31462,10461,9980
"47","Delaware",4,215925,215925,116473,80235,91464,15466,20322,3351,3472
"48","Delaware",5,41396,41396,24497,14254,20304,1998,3387,483,553
"49","District of Columbia",0,705749,705749,371038,162160,162421,147351,177133,40250,39227
"50","District of Columbia",1,149337,149337,74724,27945,28099,39878,39986,12155,11990
"51","District of Columbia",2,279746,279746,148406,74414,79815,45609,53339,15201,14758
"52","District of Columbia",3,156075,156075,78513,38004,30987,34420,41289,9666,8163
"53","District of Columbia",4,98477,98477,55265,18255,19066,23272,33363,2884,3661
"54","District of Columbia",5,22114,22114,14130,3542,4454,4172,9156,344,655
"55","Florida",0,21477737,21477737,10980681,8149338,8448054,1750048,1883467,2796888,2866972
"56","Florida",1,4714575,4714575,2306134,1685798,1604528,524933,510608,772467,737773
"57","Florida",2,5394285,5394285,2661903,2008088,1919410,546890,556695,845633,789265
"58","Florida",3,5462695,5462695,2794614,2117217,2166767,414556,468003,766896,788713
"59","Florida",4,4744581,4744581,2550248,1888501,2162149,231171,291484,343047,436512
"60","Florida",5,1161601,1161601,667782,449734,595200,32498,56677,68845,114709
"61","Georgia",0,10617423,10617423,5456999,3169513,3221992,1616915,1841232,546256,502468
"62","Georgia",1,2801689,2801689,1375698,797847,759807,496801,488441,210789,202148
"63","Georgia",2,2919659,2919659,1470729,839869,807969,495214,543255,172273,149333
"64","Georgia",3,2762995,2762995,1429223,848393,845812,398234,487064,128380,112998
"65","Georgia",4,1815688,1815688,984297,589370,662550,205201,277683,31466,32601
"66","Georgia",5,317392,317392,197052,94034,145854,21465,44789,3348,5388
"67","Hawaii",0,1415872,1415872,707832,193391,167926,18672,12286,77215,73649
"68","Hawaii",1,330092,330092,160276,32257,30523,3666,3528,30649,29260
"69","Hawaii",2,385516,385516,183575,62294,48266,8933,5290,26854,23458
"70","Hawaii",3,342637,342637,171409,46793,38699,4187,2333,13850,13799
"71","Hawaii",4,286770,286770,149031,45458,42244,1705,984,5385,6341
"72","Hawaii",5,70857,70857,43541,6589,8194,181,151,477,791
"73","Idaho",0,1787065,1787065,891137,833861,828504,9241,7105,118301,111189
"74","Idaho",1,496173,496173,242971,230416,220064,2906,3005,45882,45343
"75","Idaho",2,471157,471157,229679,221458,210790,3595,2398,39264,34484
"76","Idaho",3,420246,420246,209569,198456,196829,1929,1130,23923,22163
"77","Idaho",4,337626,337626,173821,157521,166817,772,511,8296,8134
"78","Idaho",5,61863,61863,35097,26010,34004,39,61,936,1065
"79","Illinois",0,12671821,12671821,6445263,4822215,4904700,871067,981449,1133836,1086046
"80","Illinois",1,3145309,3145309,1538808,1187505,1132260,255157,248441,396820,382785
"81","Illinois",2,3438028,3438028,1700931,1296315,1245824,267796,279094,355993,332065
"82","Illinois",3,3241570,3241570,1640353,1271118,1259668,207181,246476,274060,254491
"83","Illinois",4,2338743,2338743,1247276,905237,1000225,122479,170650,94569,98685
"84","Illinois",5,508171,508171,317895,162040,266723,18454,36788,12394,18020
"85","Indiana",0,6732219,6732219,3411859,2820605,2888987,323340,346256,252327,237026
"86","Indiana",1,1755070,1755070,856073,723547,687087,105403,101475,100841,97655
"87","Indiana",2,1790601,1790601,886105,743345,725124,101317,103097,78343,71424
"88","Indiana",3,1674389,1674389,844518,724670,728953,73359,81982,54616,48635
"89","Indiana",4,1254835,1254835,664650,538839,599284,38336,50237,16335,16363
"90","Indiana",5,257324,257324,160513,90204,148539,4925,9465,2192,2949
"91","Iowa",0,3155070,3155070,1583995,1418021,1441059,68176,59929,103182,95368
"92","Iowa",1,816335,816335,398544,360025,342975,23970,22714,42816,41109
"93","Iowa",2,824634,824634,401136,368229,353165,24629,20254,33336,29559
"94","Iowa",3,756285,756285,376368,351152,349851,14121,11222,20490,18120
"95","Iowa",4,611126,611126,316801,284237,305728,4957,4926,5771,5591
"96","Iowa",5,146690,146690,91146,54378,89340,499,813,769,989
"97","Kansas",0,2913314,2913314,1461617,1249555,1264291,92649,86076,184156,171917
"98","Kansas",1,782091,782091,380848,331922,314652,27474,26257,74474,70400
"99","Kansas",2,786671,786671,381495,336375,319459,31551,25539,58564,52923
"100","Kansas",3,686192,686192,343946,301012,302403,21002,19300,37422,34289
"101","Kansas",4,536421,536421,280649,235587,257252,11206,12523,12131,12113
"102","Kansas",5,121939,121939,74679,44659,70525,1416,2457,1565,2192
"103","Kentucky",0,4467673,4467673,2266644,1924070,1985853,188350,190129,93908,80798
"104","Kentucky",1,1118934,1118934,545344,479737,454165,56187,54281,36916,34684
"105","Kentucky",2,1165819,1165819,573222,505259,492732,60693,53958,30949,24155
"106","Kentucky",3,1141070,1141070,578587,502571,515660,43901,45890,19987,16107
"107","Kentucky",4,873654,873654,465247,376449,426393,24704,30301,5285,4684
"108","Kentucky",5,168196,168196,104244,60054,96903,2865,5699,771,1168
"109","Louisiana",0,4648794,4648794,2381744,1443166,1475677,722394,802339,131071,115901
"110","Louisiana",1,1203265,1203265,590260,347795,331205,227533,222607,44133,42248
"111","Louisiana",2,1276760,1276760,638955,387978,376167,220026,233091,43073,34336
