Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014, Civilian_labor_force_2015 , Employed_2015 , Unemployed_2015 ,Unemployment_rate_2015, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
US,United States,,,,"155,119,209","142,600,412","12,518,797",8.1,"155,485,689","144,018,150","11,467,539",7.4,"155,957,310","146,338,323","9,618,987",6.2,"156,798,981","148,515,185","8,283,796",5,"158,626,135","150,902,618","7,723,517",4.9,"160,158,564","153,183,461","6,975,103",4.4,"161,389,026","155,102,319","6,286,707",3.9,"163,100,055","157,115,247","5,984,808",3.7,"61,937",
AL,Alabama,,,,"2,176,337","2,003,290","173,047",8.0,"2,174,000","2,017,043","156,957",7.2,"2,160,842","2,014,290","146,552",6.8,"2,161,481","2,030,005","131,476",6,"2,182,558","2,055,251","127,307",5.8,"2,186,869","2,090,373","96,496",4.4,"2,216,627","2,130,845","85,782",3.9,"2,241,747","2,174,483","67,264",3.0,"49,881",100.0
AL,"Autauga County, AL",2,2,1,"25,740","23,961","1,779",6.9,"25,810","24,205","1,605",6.2,"25,592","24,097","1,495",5.8,"25,652","24,321","1,331",5,"26,031","24,709","1,322",5.1,"26,075","25,062","1,013",3.9,"26,196","25,261",935,3.6,"26,172","25,458",714,2.7,"59,338",119.0
AL,"Baldwin County, AL",3,2,1,"84,414","78,065","6,349",7.5,"85,280","79,626","5,654",6.6,"86,384","81,083","5,301",6.1,"87,872","83,010","4,862",6,"90,895","86,060","4,835",5.3,"92,456","88,711","3,745",4.1,"95,233","91,809","3,424",3.6,"97,328","94,675","2,653",2.7,"57,588",115.5
AL,"Barbour County, AL",6,6,0,"9,362","8,283","1,079",11.5,"9,099","8,168",931,10.2,"8,845","7,913",932,10.5,"8,625","7,860",765,9,"8,436","7,736",700,8.3,"8,349","7,863",486,5.8,"8,414","7,987",427,5.1,"8,537","8,213",324,3.8,"34,382",68.9
AL,"Bibb County, AL",1,1,1,"8,798","8,047",751,8.5,"8,705","8,016",689,7.9,"8,559","7,942",617,7.2,"8,589","8,021",568,7,"8,644","8,088",556,6.4,"8,583","8,208",375,4.4,"8,605","8,268",337,3.9,"8,685","8,419",266,3.1,"46,064",92.3
AL,"Blount County, AL",1,1,1,"24,960","23,244","1,716",6.9,"24,887","23,325","1,562",6.3,"24,527","23,023","1,504",6.1,"24,521","23,198","1,323",5,"24,684","23,358","1,326",5.4,"24,822","23,824",998,4.0,"25,069","24,201",868,3.5,"25,331","24,655",676,2.7,"50,412",101.1
AL,"Bullock County, AL",6,6,0,"4,736","4,245",491,10.4,"4,778","4,331",447,9.4,"4,732","4,314",418,8.8,"4,785","4,406",379,8,"4,844","4,514",330,6.8,"4,852","4,614",238,4.9,"4,791","4,571",220,4.6,"4,818","4,643",175,3.6,"29,267",58.7
AL,"Butler County, AL",6,6,0,"9,088","8,039","1,049",11.5,"9,147","8,206",941,10.3,"9,270","8,477",793,8.6,"9,151","8,457",694,8,"9,229","8,593",636,6.9,"8,975","8,481",494,5.5,"8,973","8,553",420,4.7,"9,263","8,925",338,3.6,"37,365",74.9
AL,"Calhoun County, AL",3,2,1,"49,649","45,252","4,397",8.9,"48,405","44,163","4,242",8.8,"47,237","43,467","3,770",8.0,"45,995","42,764","3,231",7,"46,013","43,016","2,997",6.5,"45,950","43,679","2,271",4.9,"46,307","44,191","2,116",4.6,"46,209","44,574","1,635",3.5,"45,400",91.0
AL,"Chambers County, AL",6,5,0,"15,140","13,646","1,494",9.9,"15,275","14,058","1,217",8.0,"15,302","14,276","1,026",6.7,"15,002","14,097",905,6,"15,043","14,225",818,5.4,"15,260","14,639",621,4.1,"15,366","14,775",591,3.8,"15,748","15,286",462,2.9,"39,917",80.0
AL,"Cherokee County, AL",6,6,0,"11,268","10,363",905,8.0,"11,403","10,649",754,6.6,"11,386","10,725",661,5.8,"11,179","10,570",609,5,"11,382","10,808",574,5.0,"11,385","10,922",463,4.1,"11,688","11,276",412,3.5,"11,604","11,266",338,2.9,"42,132",84.5
AL,"Chilton County, AL",1,1,1,"19,383","17,982","1,401",7.2,"19,359","18,090","1,269",6.6,"19,096","17,899","1,197",6.3,"19,171","18,090","1,081",6,"19,266","18,213","1,053",5.5,"19,333","18,547",786,4.1,"19,624","18,924",700,3.6,"19,818","19,280",538,2.7,"47,547",95.3
AL,"Choctaw County, AL",9,10,0,"4,791","4,297",494,10.3,"4,703","4,270",433,9.2,"4,494","4,089",405,9.0,"4,386","3,988",398,9,"4,344","3,976",368,8.5,"4,424","4,145",279,6.3,"4,749","4,493",256,5.4,"4,670","4,452",218,4.7,"39,907",80.0
AL,"Clarke County, AL",7,11,0,"8,374","7,116","1,258",15.0,"8,285","7,145","1,140",13.8,"8,155","7,162",993,12.2,"8,006","7,068",938,12,"7,985","7,121",864,10.8,"7,765","7,107",658,8.5,"7,659","7,096",563,7.4,"7,557","7,121",436,5.8,"40,741",81.7
